STBEES,297035,511965
LLNWTMR,297050,168900
TONPNTR,297270,195380
WHITHVN,297460,518690
DUMFRES,297660,576520
STRCROS,297700,81900
CRCK,297740,517420
BTHGATE,297790,668324
PARTON,297900,520610
DAWLSHW,297930,78660
EXTON,298043,86399
LYMPSTC,298260,85720
NETHRTN,298585,507910
YTRHOND,298610,194890
LYMPSTN,298925,84156
HNGT,298995,525385
ADIEWEL,299500,662300
LLWYNYP,299500,193800
WKNT,299526,528892
TNYPNDY,299790,192210
CBRK,299891,95461
EXMOUTH,300002,81170
BRYSTNS,300100,505978
LLHARAN,300170,183060
ALTNBRC,300340,945680
ABDARE,300400,202800
CILMERY,300440,251250
LNLTHGW,300510,677090
DINASR,300570,191980
RHYL,300900,381200
WCALDER,302000,663400
FLIMBY,302070,533800
SELAFLD,302080,503400
HELMSDL,302380,915475
CMBH,302400,201300
BUILTHR,302500,253300
PORH,302660,191350
CARSWS,302890,291880
FORRES,302950,858920
DUNKELD,303080,741680
PONYCLN,303460,181459
LVNSTNN,303537,668663
FERNHIL,303600,199560
SEASCAL,303715,501060
MPRT,303840,536170
TREHAFD,304470,191050
TIVIPW,304520,113960
WHIMPLE,304590,97368
MASH,304940,198960
MERTHYR,305010,206000
LLDODW,305930,261360
PNTRBCH,306000,203800
PNRHCBR,306050,197670
LVNSTNS,306140,665300
RHOOSE,306200,166200
UPHALL,306220,670570
DRIGG,306340,498900
PSTA,306400,383100
TRDYRHW,307050,202380
PTYPRID,307190,189800
MERTHRV,307700,199500
ABRCYNS,308278,194824
TREFRST,308300,188900
RGLS,308540,496490
QUAKRSY,308600,196600
BOOTLE,309370,489305
FENITON,309485,99355
SCSCLDR,309600,956020
DNFRMLE,309668,687102
PYBONT,309900,264800
KRKNWTN,310500,667100
TRFRSTE,310670,186280
BARRY,310700,167200
NWTP,311100,291300
RHYMNEY,311110,207470
ROSYTH,311186,684546
PERTH,311220,723133
THURSO,311300,967920
BARRYIS,311500,166700
DNFRMQM,311630,688440
PNTLTYN,311800,206100
BARRYDK,312400,167800
TAFFSWL,312510,183190
IVRKTHG,313100,683300
SILCRFT,313100,481960
NQNSFRY,313150,680830
CADOXTN,313240,168880
RADYR,313475,180450
LCKRBIE,313780,581800
DLMY,313900,677900
DOLAU,313920,267110
TIRPHIL,314000,203200
YSTRADM,314200,194300
ASPTRIA,314390,541260
FRWATER,314440,177940
DANESCT,314447,178674
CORYTON,314630,180888
LLBRDCH,314700,190100
WAUNGRN,314720,177300
LLANDAF,314830,179550
ABER,314870,186950
DALGETY,314890,684090
ERGNCHP,314957,187866
PENGAM,315030,197570
BARGOED,315100,200000
BRITHDR,315200,202000
WHCH,315225,180913
GLFCHFR,315300,199100
DINASP,315400,171000
HENGOED,315400,195000
GRGMASJ,315500,959300
CRPHLY,315650,186560
RHIWBNA,315870,180950
EASTBRK,316260,171650
BSPSLYD,316388,129039
HONITON,316460,100340
CWDNBTH,316570,691850
NINIANP,316640,175980
BCHGRV,316711,180978
TYGLAS,317080,180970
EBWVTN,317128,209353
MLLM,317200,480200
LLBSTRD,317420,271620
GNTN,317455,174965
COGAN,317460,172560
EBWVPWY,317539,207172
EDINGWY,317632,672775
CURRIEH,317640,668280
LTHH,317880,183520
DGLROAD,318040,171890
HEATHLL,318080,180300
LLISHEN,318110,182200
HEATHHL,318111,180385
CRDFCEN,318194,175889
CATHAYS,318260,177320
EDINPRK,318390,671270
PENARTH,318460,171420
LCHGLLY,318500,694400
CARDFQS,318838,176539
STHGYLE,318920,672240
GREENRD,318930,483920
CARDFBR,319074,174883
ABDO,319100,685400
ANNAN,319300,566200
WHAILES,319820,669770
BAROW,319955,469932
FOXFILD,320880,485460
LLGUNLO,320990,273030
KNGW,321040,670248
NBRWGE,321053,196956
WKIRBY,321340,386910
ASKAM,321500,477688
LLHLETH,321645,200783
CDND,321700,695000
HOYLAKE,321700,388800
ELGIN,321823,862199
ROOSE,322010,469470
CRSKEYS,322132,191943
MNRD,322200,389300
SLATEFD,322400,671100
KRKBYIF,322700,482540
TAUNTON,322755,125460
WELSHPL,322995,307251
DALTON,323100,473800
BISLND,323300,685600
MELS,323350,389800
HAYMRKT,324000,673200
RISCA,324458,190233
FLINT,324500,373100
WIGTON,325300,548875
KNUCKLS,325400,274100
EDINBUR,325900,673900
